timer,fight_result,has_round_started,is_round_over,player1_id,p1_health,p1_x,p1_y,p1_jumping,p1_crouching,p1_in_move,p1_move_id,player1_buttons_up,player1_buttons_down,player1_buttons_right,player1_buttons_left,player1_buttons_select,player1_buttons_start,player1_buttons_y,player1_buttons_b,player1_buttons_x,player1_buttons_a,player1_buttons_l,player1_buttons_r,player2_id,p2_health,p2_x,p2_y,p2_jumping,p2_crouching,p2_in_move,p2_move_id,player2_buttons_up,player2_buttons_down,player2_buttons_right,player2_buttons_left,player2_buttons_select,player2_buttons_start,player2_buttons_y,player2_buttons_b,player2_buttons_x,player2_buttons_a,player2_buttons_l,player2_buttons_r,diff_x,diff_y,diff_health
153,NOT_OVER,False,False,2,176,212,192,False,True,False,0,False,False,False,False,False,False,False,False,True,False,False,False,4,176,331,140,True,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,-119,52,0
147,NOT_OVER,True,False,2,176,366,181,True,False,False,0,False,False,False,False,False,False,False,False,False,True,False,False,4,176,292,192,False,False,True,263168,False,False,False,False,False,False,False,False,False,False,False,False,74,-11,0
145,NOT_OVER,True,False,2,176,290,192,False,False,True,131586,False,False,False,False,False,False,True,False,False,False,False,False,4,145,313,151,True,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,-23,41,31
144,NOT_OVER,True,False,2,176,315,192,False,False,False,0,False,False,False,False,False,False,False,False,False,True,False,False,4,145,361,144,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,-46,48,31
135,NOT_OVER,True,False,2,138,268,192,False,False,False,0,False,False,False,False,False,False,False,False,True,False,False,False,4,145,289,172,True,False,True,132100,False,False,False,False,False,False,False,False,False,False,False,False,-21,20,-7
134,NOT_OVER,True,False,2,138,259,192,False,False,False,0,False,False,False,False,False,False,True,False,False,False,False,False,4,145,238,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,21,0,-7
128,NOT_OVER,True,False,2,68,362,192,False,False,False,0,False,False,False,False,False,False,False,False,False,True,False,False,4,119,266,125,True,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,96,67,-51
114,NOT_OVER,True,False,2,35,330,102,True,False,False,0,False,False,False,False,False,False,False,True,False,False,False,False,4,119,248,124,True,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,82,-22,-84
105,NOT_OVER,True,False,2,35,268,192,False,False,False,0,False,False,False,False,False,False,True,False,False,False,False,False,4,95,196,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,72,0,-60
82,P2,True,True,2,255,237,192,False,False,False,0,False,False,False,False,False,False,False,False,True,False,False,False,4,69,55,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,182,0,186
82,P2,True,True,2,255,237,192,False,False,False,0,False,False,False,False,False,False,True,False,True,False,False,False,4,69,55,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,182,0,186
82,P2,True,True,2,255,237,192,False,False,False,0,False,False,False,False,False,False,True,False,False,False,False,False,4,69,55,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,182,0,186
82,P2,True,True,2,255,237,192,False,False,False,0,False,False,False,False,False,False,False,False,True,False,False,False,4,69,55,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,182,0,186
82,P2,True,True,2,255,237,192,False,False,False,0,False,False,False,False,False,False,True,False,True,False,False,False,4,69,55,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,182,0,186
